"SARG number","meters north","meters east","start date","end date","median date","type","size","description","room count","elevation","baseline households","x","y"
2422,10951,5884,1000,1100,1050,2,4410,5,-1,2056,1,61,114
2423,10898,5890,1200,1300,1250,1,100,1,5,2047,1,61,114
2424,11088,5966,850,1150,1000,2,35,4,0,2074,1,62,116
2425,11033,5933,1050,1150,1100,1,200,1,5,2057,1,61,115
2426,10858,5869,1150,1300,1270,1,500,1,11,2044,3,61,113
2427,10770,5859,1200,1300,1270,1,3000,1,50,2033,10,61,112
2428,10670,5812,1150,1250,1200,1,300,1,10,2027,2,60,111
2429,10878,5771,950,1100,1050,1,200,1,5,2057,1,60,113
2430,10846,5724,1025,1100,1050,1,500,1,16,2063,4,59,113
2431,9714,5523,1000,1050,1025,2,80,6,0,1890,1,57,101
2432,9976,5522,1000,1100,1050,2,40,4,1,1902,1,57,104
2434,7211,1271,850,1000,900,2,100,5,-1,2042,1,13,74
2436,7440,1501,600,700,650,2,-1,6,0,2025,1,15,77
2439,7471,649,1050,1100,1075,2,600,1,2,2091,1,6,77
2440,10798,6092,1050,1175,1150,1,100,1,4,1929,1,63,113
2441,10983,6096,1050,1200,1150,1,160,1,3,1966,1,63,114
2442,10945,6094,1050,1200,1175,1,960,1,3,1951,1,63,114
2443,10928,6088,1050,1200,1175,2,400,4,2,1948,1,63,114
2444,10898,6102,1050,1200,1175,2,300,4,-1,1929,1,63,114
2445,10798,6084,1050,1200,1150,2,190,4,1,1922,1,63,113
2446,10827,6140,1050,1200,1150,1,100,4,-1,1911,1,64,113
2447,10719,5828,1050,1300,1225,2,35,7,0,2033,0,60,112
2448,10745,5822,1050,1300,1225,2,50,7,0,2035,0,60,112
2449,10745,5841,1050,1300,1225,2,60,7,0,2033,0,60,112
2450,10608,5825,1050,1300,1225,2,-1,7,0,2003,0,60,110
2451,6387,2710,850,1050,1000,1,700,1,2,1951,1,27,65
